Time Stamp,Step,Status,Prog Time,Step Time,Cycle,Cycle Level,Procedure,Voltage,Current,Temperature,Capacity,WhAccu,Cnt,SOC
,,,,,,,,[V],[A],[C],[Ah],[Wh],[Cnt],90
11/27/2018 8:41:18 PM,22,DCH,19:08.4,01:00.0,0,0,LG_HG2_NN_Char,4.16273,-0.15325,-0.42063,-0.00253,-0.01052,13,89.89594136
11/27/2018 8:42:18 PM,22,DCH,20:08.4,02:00.0,0,0,LG_HG2_NN_Char,4.15784,-0.15325,-0.42063,-0.00506,-0.02108,13,89.79362099
11/27/2018 8:43:18 PM,22,DCH,21:08.4,03:00.0,0,0,LG_HG2_NN_Char,4.15396,-0.15069,-0.52579,-0.0076,-0.03162,13,89.68956235
11/27/2018 8:44:18 PM,22,DCH,22:08.4,04:00.0,0,0,LG_HG2_NN_Char,4.15042,-0.15325,-0.63095,-0.01014,-0.04216,13,89.58724198
11/27/2018 8:45:18 PM,22,DCH,23:08.4,05:00.0,0,0,LG_HG2_NN_Char,4.14739,-0.15069,-0.31548,-0.01268,-0.0527,13,89.4849216
11/27/2018 8:46:18 PM,22,DCH,24:08.4,06:00.0,0,0,LG_HG2_NN_Char,4.14469,-0.15069,-0.42063,-0.01521,-0.06322,13,89.38086296
11/27/2018 8:47:18 PM,22,DCH,25:08.4,07:00.0,0,0,LG_HG2_NN_Char,4.14199,-0.15325,-0.63095,-0.01775,-0.0737,13,89.27680432
11/27/2018 8:48:18 PM,22,DCH,26:08.4,08:00.0,0,0,LG_HG2_NN_Char,4.1393,-0.15325,-0.63095,-0.02029,-0.08422,13,89.17274568
11/27/2018 8:49:18 PM,22,DCH,27:08.4,09:00.0,0,0,LG_HG2_NN_Char,4.13694,-0.15325,-0.52579,-0.02282,-0.09471,13,89.06868704
11/27/2018 8:50:18 PM,22,DCH,28:08.4,10:00.0,0,0,LG_HG2_NN_Char,4.13475,-0.15325,-0.42063,-0.02536,-0.1052,13,88.96636667
11/27/2018 8:51:18 PM,22,DCH,29:08.4,11:00.0,0,0,LG_HG2_NN_Char,4.13272,-0.15069,-0.31548,-0.02789,-0.11568,13,88.8640463
11/27/2018 8:52:18 PM,22,DCH,30:08.4,12:00.0,0,0,LG_HG2_NN_Char,4.13053,-0.15069,-0.73611,-0.03042,-0.12611,13,88.75998765
11/27/2018 8:53:18 PM,22,DCH,31:08.4,13:00.0,0,0,LG_HG2_NN_Char,4.12851,-0.15325,-0.63095,-0.03295,-0.13656,13,88.65766728
11/27/2018 8:54:18 PM,22,DCH,32:08.4,14:00.0,0,0,LG_HG2_NN_Char,4.12649,-0.15069,-0.63095,-0.03548,-0.14703,13,88.55534691
11/27/2018 8:55:18 PM,22,DCH,33:08.4,15:00.0,0,0,LG_HG2_NN_Char,4.1248,-0.15069,-0.42063,-0.03802,-0.1575,13,88.45302654
11/27/2018 8:56:18 PM,22,DCH,34:08.4,16:00.0,0,0,LG_HG2_NN_Char,4.12311,-0.15069,-0.31548,-0.04057,-0.168,13,88.35070617
11/27/2018 8:57:18 PM,22,DCH,35:08.4,17:00.0,0,0,LG_HG2_NN_Char,4.12143,-0.15069,-0.63095,-0.0431,-0.17844,13,88.24664753
11/27/2018 8:58:18 PM,22,DCH,36:08.4,18:00.0,0,0,LG_HG2_NN_Char,4.11957,-0.15325,-0.63095,-0.04564,-0.1889,13,88.14258889
11/27/2018 8:59:18 PM,22,DCH,37:08.4,19:00.0,0,0,LG_HG2_NN_Char,4.11806,-0.15325,-0.63095,-0.04818,-0.19935,13,88.04026852
